Ticker,ESG Score,Governance Score,Environment Score,Social Score,ESG Score Date,ESG Status,CEO Full Name,CEO Gender,CEO Status
AMD,,,,,,An error occurred: 'symbolSeries',Dr. Lisa T. Su Ph.D.,female,Manually added gender
AEE,29.53,5.49,14.11,9.93,01/01/2023,success,Mr. Martin J. Lyons Jr.,male,success
AAL,29.1,5.26,11.53,12.31,01/01/2023,success,Mr. Robert D. Isom Jr.,male,success
AEP,25.81,5.43,12.84,7.54,01/08/2022,success,Ms. Julia A. Sloat,female,success
AXP,18.38,9.95,0.05,8.37,01/08/2022,success,Mr. Stephen Joseph Squeri,male,success
AIG,25.32,13.79,1.87,9.67,01/08/2022,success,Mr. Peter Salvatore Zaffino,male,success
AMT,10.94,5.02,2.36,3.56,01/08/2022,success,Mr. Thomas A. Bartlett CPA,male,success
AWK,21.89,5.27,9.04,7.58,01/01/2023,success,Ms. M. Susan Hardwick,female,success
AMP,22.61,12.82,2.57,7.22,01/01/2023,success,Mr. James M. Cracchiolo,male,success
AME,24.08,6.92,8.65,8.51,01/01/2023,success,Mr. David A. Zapico,male,success
AMGN,22.04,7.89,0.69,13.46,01/08/2022,success,Mr. Robert A. Bradway,male,success
APH,21.35,7.81,8.04,5.49,01/01/2023,success,Mr. Richard Adam Norwitt,male,success
ADI,23.78,5.9,10.13,7.74,01/08/2022,success,Mr. Vincent T. Roche,male,success
ANSS,13.05,4.86,0.86,7.32,01/01/2023,success,Dr. Ajei S. Gopal Ph.D.,male,Manually added gender
AON,23.0,12.5,0.06,10.44,01/03/2020,success,Mr. Gregory Clarence Case,male,success
APA,38.81,7.96,21.98,8.88,01/03/2021,success,Mr. John J. Christmann IV,male,success
AAPL,16.68,9.18,0.65,6.86,01/08/2022,success,Mr. Timothy D. Cook,male,success
AMAT,11.56,5.1,3.84,2.62,01/08/2022,success,Mr. Gary E. Dickerson,male,success
APTV,11.51,5.27,2.49,3.75,01/01/2023,success,Mr. Kevin P. Clark,male,success
ACGL,20.75,11.98,1.47,7.31,01/01/2023,success,Mr. Marc  Grandisson,male,success
ANET,16.4,7.11,0.4,8.88,01/01/2023,success,Ms. Jayshree V. Ullal,female,success
AJG,21.28,10.47,0.11,10.7,01/01/2023,success,Mr. J. Patrick Gallagher Jr.,male,success
AIZ,24.48,11.27,1.63,11.58,01/01/2023,success,Mr. Keith Warner Demmings,male,success
T,22.07,6.66,2.27,13.15,01/08/2022,success,Mr. John T. Stankey,male,success
ATO,34.79,6.54,14.83,13.42,01/01/2023,success,Mr. John Kevin Akers,male,success
ADSK,16.05,4.44,3.41,8.19,01/01/2023,success,Dr. Andrew  Anagnost,male,Manually added gender
AZO,11.04,3.83,0.11,7.09,01/01/2023,success,Mr. William C. Rhodes III,male,success
AVB,10.53,4.56,2.95,3.02,01/08/2022,success,Mr. Benjamin W. Schall,male,success
AVY,15.38,3.67,10.58,1.14,01/01/2023,success,Mr. Deon M. Stander,male,success
AXON,,,,,,An error occurred: 'symbolSeries',Mr. Patrick W. Smith,male,success
BKR,,,,,,An error occurred: 'symbolSeries',Mr. Lorenzo  Simonelli,male,success
BALL,10.81,3.79,5.92,1.11,01/01/2023,success,Mr. Daniel William Fisher,male,success
BAC,27.15,11.16,1.62,14.37,01/08/2022,success,Mr. Brian Thomas Moynihan,male,success
BBWI,15.5,4.48,2.59,8.43,01/01/2023,success,Ms. Gina R. Boswell,female,success
BAX,23.74,7.31,2.83,13.6,01/08/2022,success,Mr. Jose E. Almeida,male,success
BDX,26.74,7.48,3.7,15.56,01/08/2022,success,Mr. Thomas E. Polen Jr.,male,success
WRB,21.97,12.04,1.97,7.95,01/01/2023,success,Mr. William Robert Berkley Jr.,male,success
BRK-B,16.02,11.65,0.58,3.8,01/08/2022,success,Mr. Warren E. Buffett,male,success
BBY,14.15,4.75,2.22,7.19,01/01/2023,success,Ms. Corie Sue Barry,female,success
BIO,16.87,7.19,1.44,8.25,01/01/2023,success,Mr. Norman D. Schwartz,male,success
TECH,55.17,48.85,56.89,56.41,01/10/2018,success,Mr. Charles R. Kummeth,male,success
BIIB,21.05,7.81,0.02,13.22,01/08/2022,success,Mr. Christopher A. Viehbacher,male,success
BLK,20.57,9.48,1.49,9.61,01/08/2022,success,Mr. Laurence Douglas Fink,male,success
BX,23.63,11.16,2.52,9.95,01/01/2023,success,"Mr. Stephen Allen Schwarzman B.A., M.B.A.",male,success
